"Time, s",Hills within the frame,Without Weeds Index,With Weeds Index,"Weeds Distance from frame origin, px"
0.0,[2 3 4],[2 3 4],[-1],[-1]
0.41666666666666669,[5 6],[5 6],[-1],[-1]
0.83333333333333337,[7 8 9],[7 8 9],[-1],[-1]
1.25,[10 11 12],[10 11 12],[-1],[-1]
1.6666666666666667,[13 14],[13 14],[-1],[-1]
2.0833333333333335,[16 17],[16 17],[-1],[-1]
2.5,[18 19 20],[18 19 20],[-1],[-1]
2.916666666666667,[21 22],[21 22],[-1],[-1]
3.3333333333333335,[24 25],[24 25],[-1],[-1]
3.75,[26 27 28],[26 27 28],[-1],[-1]
4.166666666666667,[29 30 31],[29 30 31],[-1],[-1]
4.5833333333333339,[32 33],[32 33],[-1],[-1]
5.0,[35 36],[35 36],[-1],[-1]
5.416666666666667,[37 38 39],[37 38 39],[-1],[-1]
5.8333333333333339,[40 41],[40 41],[-1],[-1]
6.25,[43 44],[43 44],[-1],[-1]
6.666666666666667,[45 46 47],[45 46 47],[-1],[-1]
7.0833333333333339,[48 49],[48 49],[-1],[-1]
7.5,[-1],[-1],[-1],[-1]
7.916666666666667,[-1],[-1],[-1],[-1]
